Time,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
2018-04-01 12:36:46.339,3419,3109,3371,3440,3287,3907,3770,3527,3567,3296,3559,3899,3484,3543
2018-04-01 12:36:46.356,3419,3108,3371,3439,3286,3907,3770,3527,3567,3296,3559,3899,3484,3542
2018-04-01 12:36:46.356,3419,3108,3371,3440,3287,3907,3770,3527,3567,3296,3560,3899,3484,3542
2018-04-01 12:36:46.356,3419,3108,3371,3440,3287,3907,3770,3527,3567,3296,3559,3900,3484,3542
2018-04-01 12:36:46.357,3420,3108,3371,3440,3286,3908,3770,3527,3567,3296,3559,3899,3484,3542
2018-04-01 12:36:46.403,3419,3108,3371,3440,3287,3907,3770,3527,3567,3296,3559,3899,3485,3542
2018-04-01 12:36:46.404,3419,3108,3371,3439,3286,3908,3770,3527,3568,3296,3559,3899,3485,3542
2018-04-01 12:36:46.404,3419,3108,3371,3439,3287,3907,3770,3527,3568,3297,3559,3899,3484,3542
2018-04-01 12:36:46.404,3420,3108,3371,3440,3286,3907,3770,3527,3568,3296,3559,3899,3484,3542
2018-04-01 12:36:46.404,3419,3108,3371,3439,3287,3907,3769,3527,3568,3297,3559,3899,3484,3542
2018-04-01 12:36:46.949,3420,3108,3371,3439,3287,3907,3770,3528,3568,3296,3559,3899,3484,3542
2018-04-01 12:36:46.950,3419,3108,3371,3439,3287,3908,3770,3528,3568,3296,3559,3899,3484,3542
2018-04-01 12:36:46.950,3419,3108,3371,3439,3287,3907,3770,3527,3568,3297,3559,3899,3484,3542
2018-04-01 12:36:46.950,3420,3108,3371,3439,3287,3907,3770,3527,3569,3296,3559,3899,3484,3542
2018-04-01 12:36:46.953,3419,3108,3371,3440,3287,3907,3770,3528,3569,3296,3559,3899,3484,3542
2018-04-01 12:36:47.053,3419,3108,3371,3440,3287,3907,3770,3528,3568,3297,3559,3899,3484,3542
2018-04-01 12:36:47.053,3420,3108,3371,3439,3287,3908,3770,3527,3569,3296,3559,3900,3484,3542
2018-04-01 12:36:47.053,3419,3108,3371,3439,3287,3908,3770,3528,3568,3296,3559,3899,3484,3542
2018-04-01 12:36:47.054,3420,3108,3371,3439,3287,3908,3770,3528,3568,3296,3560,3900,3484,3542
2018-04-01 12:36:47.054,3420,3108,3371,3439,3288,3908,3770,3528,3568,3296,3559,3900,3484,3542
2018-04-01 12:36:47.078,3420,3108,3371,3439,3288,3908,3770,3528,3569,3296,3559,3899,3484,3541
2018-04-01 12:36:47.078,3419,3109,3371,3439,3289,3908,3770,3528,3569,3297,3559,3899,3485,3542
2018-04-01 12:36:47.078,3419,3108,3370,3439,3289,3908,3770,3528,3568,3297,3559,3899,3485,3542
2018-04-01 12:36:47.078,3420,3108,3370,3439,3289,3908,3770,3528,3569,3296,3559,3899,3484,3542
2018-04-01 12:36:47.078,3420,3108,3370,3439,3288,3908,3770,3528,3568,3296,3559,3899,3484,3542
2018-04-01 12:36:47.104,3419,3108,3370,3439,3289,3908,3770,3528,3568,3297,3559,3899,3484,3542
2018-04-01 12:36:47.104,3420,3108,3370,3440,3288,3909,3770,3528,3568,3296,3559,3899,3484,3541
2018-04-01 12:36:47.104,3420,3108,3370,3440,3288,3908,3770,3528,3568,3296,3559,3899,3484,3541
2018-04-01 12:36:47.104,3420,3108,3370,3440,3288,3909,3770,3528,3568,3296,3559,3899,3484,3542
2018-04-01 12:36:47.105,3420,3108,3370,3440,3288,3910,3770,3528,3568,3296,3559,3899,3484,3542
2018-04-01 12:36:47.125,3420,3108,3370,3441,3287,3911,3770,3528,3568,3296,3559,3898,3484,3541
2018-04-01 12:36:47.126,3419,3107,3368,3442,3287,3912,3771,3528,3568,3296,3559,3899,3484,3541
2018-04-01 12:36:47.126,3420,3108,3367,3445,3286,3912,3771,3530,3568,3297,3559,3899,3483,3541
2018-04-01 12:36:47.126,3420,3108,3365,3447,3284,3913,3772,3531,3569,3296,3560,3898,3484,3541
2018-04-01 12:36:47.126,3420,3108,3365,3448,3283,3913,3771,3531,3569,3296,3560,3898,3484,3540
2018-04-01 12:36:47.148,3419,3108,3365,3449,3283,3913,3771,3530,3568,3296,3560,3899,3484,3541
2018-04-01 12:36:47.148,3420,3108,3365,3448,3283,3914,3771,3530,3569,3296,3559,3899,3484,3541
2018-04-01 12:36:47.149,3419,3108,3365,3448,3282,3913,3771,3531,3569,3296,3559,3899,3484,3541
2018-04-01 12:36:47.149,3420,3108,3365,3447,3284,3913,3771,3531,3569,3296,3559,3899,3484,3541
2018-04-01 12:36:47.149,3420,3108,3365,3447,3284,3913,3771,3531,3569,3296,3559,3898,3484,3541
2018-04-01 12:36:47.174,3419,3108,3365,3445,3285,3912,3771,3531,3568,3296,3559,3899,3484,3541
2018-04-01 12:36:47.174,3419,3108,3365,3445,3286,3911,3772,3532,3569,3296,3559,3899,3484,3541
2018-04-01 12:36:47.175,3419,3109,3365,3443,3286,3910,3771,3531,3568,3296,3560,3899,3484,3541
2018-04-01 12:36:47.175,3420,3108,3366,3440,3288,3908,3771,3532,3566,3296,3559,3899,3483,3541
2018-04-01 12:36:47.175,3420,3108,3366,3440,3288,3908,3771,3532,3565,3296,3558,3899,3483,3541
2018-04-01 12:36:47.198,3420,3108,3366,3439,3289,3908,3771,3533,3564,3295,3558,3899,3483,3541
2018-04-01 12:36:47.198,3420,3108,3367,3438,3288,3907,3771,3533,3564,3296,3558,3899,3483,3541
2018-04-01 12:36:47.198,3420,3109,3366,3439,3287,3906,3771,3532,3563,3296,3559,3900,3483,3541
2018-04-01 12:36:47.198,3420,3108,3366,3438,3287,3907,3771,3531,3562,3297,3559,3900,3483,3541
2018-04-01 12:36:47.198,3420,3108,3366,3439,3288,3908,3770,3530,3560,3297,3559,3900,3482,3541
2018-04-01 12:36:47.219,3420,3108,3367,3438,3288,3908,3771,3530,3559,3296,3559,3900,3482,3542
2018-04-01 12:36:47.219,3420,3108,3368,3438,3289,3909,3771,3528,3557,3296,3558,3901,3481,3542
2018-04-01 12:36:47.220,3420,3108,3367,3438,3288,3909,3771,3528,3555,3296,3558,3901,3482,3542
2018-04-01 12:36:47.220,3420,3108,3368,3439,3288,3909,3771,3527,3555,3296,3558,3902,3482,3543
2018-04-01 12:36:47.220,3420,3108,3368,3439,3288,3909,3771,3527,3555,3296,3558,3901,3482,3542
2018-04-01 12:36:47.266,3420,3108,3367,3439,3288,3910,3771,3527,3555,3296,3558,3902,3482,3543
2018-04-01 12:36:47.266,3420,3108,3368,3438,3288,3912,3771,3526,3553,3296,3559,3901,3481,3542
2018-04-01 12:36:47.266,3421,3108,3368,3439,3287,3915,3771,3520,3555,3296,3559,3902,3481,3543
2018-04-01 12:36:47.266,3420,3108,3368,3439,3288,3916,3771,3522,3554,3296,3559,3902,3481,3543
2018-04-01 12:36:47.267,3421,3108,3368,3439,3287,3916,3771,3523,3553,3296,3559,3902,3481,3543
2018-04-01 12:36:47.291,3421,3108,3368,3439,3286,3916,3771,3524,3552,3296,3559,3902,3481,3543
2018-04-01 12:36:47.292,3421,3108,3368,3439,3286,3916,3771,3525,3552,3296,3559,3902,3481,3543
