Time,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
36:46.3,0,0.4,1,0.575,0.25,0.677966,0.357143,0.177778,0.850877,0.5,0.281818,0.214286,0.5,0.772727
36:46.4,0,0.2,1,0.55,0.242424,0.677966,0.357143,0.177778,0.850877,0.5,0.281818,0.214286,0.5,0.727273
36:46.4,0,0.2,1,0.575,0.25,0.677966,0.357143,0.177778,0.850877,0.5,0.290909,0.214286,0.5,0.727273
36:46.4,0,0.2,1,0.575,0.25,0.677966,0.357143,0.177778,0.850877,0.5,0.281818,0.25,0.5,0.727273
36:46.4,0.066667,0.2,1,0.575,0.242424,0.694915,0.357143,0.177778,0.850877,0.5,0.281818,0.214286,0.5,0.727273
36:46.4,0,0.2,1,0.575,0.25,0.677966,0.357143,0.177778,0.850877,0.5,0.281818,0.214286,0.538462,0.727273
36:46.4,0,0.2,1,0.55,0.242424,0.694915,0.357143,0.177778,0.859649,0.5,0.281818,0.214286,0.538462,0.727273
36:46.4,0,0.2,1,0.55,0.25,0.677966,0.357143,0.177778,0.859649,0.538462,0.281818,0.214286,0.5,0.727273
36:46.4,0.066667,0.2,1,0.575,0.242424,0.677966,0.357143,0.177778,0.859649,0.5,0.281818,0.214286,0.5,0.727273
36:46.4,0,0.2,1,0.55,0.25,0.677966,0.285714,0.177778,0.859649,0.538462,0.281818,0.214286,0.5,0.727273
36:46.9,0.066667,0.2,1,0.55,0.25,0.677966,0.357143,0.188889,0.859649,0.5,0.281818,0.214286,0.5,0.727273
36:46.9,0,0.2,1,0.55,0.25,0.694915,0.357143,0.188889,0.859649,0.5,0.281818,0.214286,0.5,0.727273
36:46.9,0,0.2,1,0.55,0.25,0.677966,0.357143,0.177778,0.859649,0.538462,0.281818,0.214286,0.5,0.727273
36:46.9,0.066667,0.2,1,0.55,0.25,0.677966,0.357143,0.177778,0.868421,0.5,0.281818,0.214286,0.5,0.727273
36:47.0,0,0.2,1,0.575,0.25,0.677966,0.357143,0.188889,0.868421,0.5,0.281818,0.214286,0.5,0.727273
36:47.1,0,0.2,1,0.575,0.25,0.677966,0.357143,0.188889,0.859649,0.538462,0.281818,0.214286,0.5,0.727273
36:47.1,0.066667,0.2,1,0.55,0.25,0.694915,0.357143,0.177778,0.868421,0.5,0.281818,0.25,0.5,0.727273
36:47.1,0,0.2,1,0.55,0.25,0.694915,0.357143,0.188889,0.859649,0.5,0.281818,0.214286,0.5,0.727273
36:47.1,0.066667,0.2,1,0.55,0.25,0.694915,0.357143,0.188889,0.859649,0.5,0.290909,0.25,0.5,0.727273
36:47.1,0.066667,0.2,1,0.55,0.257576,0.694915,0.357143,0.188889,0.859649,0.5,0.281818,0.25,0.5,0.727273
36:47.1,0.066667,0.2,1,0.55,0.257576,0.694915,0.357143,0.188889,0.868421,0.5,0.281818,0.214286,0.5,0.681818
36:47.1,0,0.4,1,0.55,0.265152,0.694915,0.357143,0.188889,0.868421,0.538462,0.281818,0.214286,0.538462,0.727273
36:47.1,0,0.2,0.954545,0.55,0.265152,0.694915,0.357143,0.188889,0.859649,0.538462,0.281818,0.214286,0.538462,0.727273
36:47.1,0.066667,0.2,0.954545,0.55,0.265152,0.694915,0.357143,0.188889,0.868421,0.5,0.281818,0.214286,0.5,0.727273
36:47.1,0.066667,0.2,0.954545,0.55,0.257576,0.694915,0.357143,0.188889,0.859649,0.5,0.281818,0.214286,0.5,0.727273
36:47.1,0,0.2,0.954545,0.55,0.265152,0.694915,0.357143,0.188889,0.859649,0.538462,0.281818,0.214286,0.5,0.727273
36:47.1,0.066667,0.2,0.954545,0.575,0.257576,0.711864,0.357143,0.188889,0.859649,0.5,0.281818,0.214286,0.5,0.681818
36:47.1,0.066667,0.2,0.954545,0.575,0.257576,0.694915,0.357143,0.188889,0.859649,0.5,0.281818,0.214286,0.5,0.681818
36:47.1,0.066667,0.2,0.954545,0.575,0.257576,0.711864,0.357143,0.188889,0.859649,0.5,0.281818,0.214286,0.5,0.727273
36:47.1,0.066667,0.2,0.954545,0.575,0.257576,0.728814,0.357143,0.188889,0.859649,0.5,0.281818,0.214286,0.5,0.727273
36:47.1,0.066667,0.2,0.954545,0.6,0.25,0.745763,0.357143,0.188889,0.859649,0.5,0.281818,0.178571,0.5,0.681818
36:47.1,0,0,0.863636,0.625,0.25,0.762712,0.428571,0.188889,0.859649,0.5,0.281818,0.214286,0.5,0.681818
36:47.1,0.066667,0.2,0.818182,0.7,0.242424,0.762712,0.428571,0.211111,0.859649,0.538462,0.281818,0.214286,0.461538,0.681818
36:47.1,0.066667,0.2,0.727273,0.75,0.227273,0.779661,0.5,0.222222,0.868421,0.5,0.290909,0.178571,0.5,0.681818
36:47.1,0.066667,0.2,0.727273,0.775,0.219697,0.779661,0.428571,0.222222,0.868421,0.5,0.290909,0.178571,0.5,0.636364
36:47.1,0,0.2,0.727273,0.8,0.219697,0.779661,0.428571,0.211111,0.859649,0.5,0.290909,0.214286,0.5,0.681818
36:47.1,0.066667,0.2,0.727273,0.775,0.219697,0.79661,0.428571,0.211111,0.868421,0.5,0.281818,0.214286,0.5,0.681818
36:47.1,0,0.2,0.727273,0.775,0.212121,0.779661,0.428571,0.222222,0.868421,0.5,0.281818,0.214286,0.5,0.681818
36:47.1,0.066667,0.2,0.727273,0.75,0.227273,0.779661,0.428571,0.222222,0.868421,0.5,0.281818,0.214286,0.5,0.681818
36:47.1,0.066667,0.2,0.727273,0.75,0.227273,0.779661,0.428571,0.222222,0.868421,0.5,0.281818,0.178571,0.5,0.681818
36:47.2,0,0.2,0.727273,0.7,0.234848,0.762712,0.428571,0.222222,0.859649,0.5,0.281818,0.214286,0.5,0.681818
36:47.2,0,0.2,0.727273,0.7,0.242424,0.745763,0.5,0.233333,0.868421,0.5,0.281818,0.214286,0.5,0.681818
36:47.2,0,0.4,0.727273,0.65,0.242424,0.728814,0.428571,0.222222,0.859649,0.5,0.290909,0.214286,0.5,0.681818
36:47.2,0.066667,0.2,0.772727,0.575,0.257576,0.694915,0.428571,0.233333,0.842105,0.5,0.281818,0.214286,0.461538,0.681818
36:47.2,0.066667,0.2,0.772727,0.575,0.257576,0.694915,0.428571,0.233333,0.833333,0.5,0.272727,0.214286,0.461538,0.681818
36:47.2,0.066667,0.2,0.772727,0.55,0.265152,0.694915,0.428571,0.244444,0.824561,0.461538,0.272727,0.214286,0.461538,0.681818
36:47.2,0.066667,0.2,0.818182,0.525,0.257576,0.677966,0.428571,0.244444,0.824561,0.5,0.272727,0.214286,0.461538,0.681818
36:47.2,0.066667,0.4,0.772727,0.55,0.25,0.661017,0.428571,0.233333,0.815789,0.5,0.281818,0.25,0.461538,0.681818
36:47.2,0.066667,0.2,0.772727,0.525,0.25,0.677966,0.428571,0.222222,0.807018,0.538462,0.281818,0.25,0.461538,0.681818
36:47.2,0.066667,0.2,0.772727,0.55,0.257576,0.694915,0.357143,0.211111,0.789474,0.538462,0.281818,0.25,0.423077,0.681818
36:47.2,0.066667,0.2,0.818182,0.525,0.257576,0.694915,0.428571,0.211111,0.780702,0.5,0.281818,0.25,0.423077,0.727273
36:47.2,0.066667,0.2,0.863636,0.525,0.265152,0.711864,0.428571,0.188889,0.763158,0.5,0.272727,0.285714,0.384615,0.727273
36:47.2,0.066667,0.2,0.818182,0.525,0.257576,0.711864,0.428571,0.188889,0.745614,0.5,0.272727,0.285714,0.423077,0.727273
36:47.2,0.066667,0.2,0.863636,0.55,0.257576,0.711864,0.428571,0.177778,0.745614,0.5,0.272727,0.321429,0.423077,0.772727
36:47.2,0.066667,0.2,0.863636,0.55,0.257576,0.711864,0.428571,0.177778,0.745614,0.5,0.272727,0.285714,0.423077,0.727273
36:47.3,0.066667,0.2,0.818182,0.55,0.257576,0.728814,0.428571,0.177778,0.745614,0.5,0.272727,0.321429,0.423077,0.772727
36:47.3,0.066667,0.2,0.863636,0.525,0.257576,0.762712,0.428571,0.166667,0.72807,0.5,0.281818,0.285714,0.384615,0.727273
36:47.3,0.133333,0.2,0.863636,0.55,0.25,0.813559,0.428571,0.1,0.745614,0.5,0.281818,0.321429,0.384615,0.772727
36:47.3,0.066667,0.2,0.863636,0.55,0.257576,0.830508,0.428571,0.122222,0.736842,0.5,0.281818,0.321429,0.384615,0.772727
36:47.3,0.133333,0.2,0.863636,0.55,0.25,0.830508,0.428571,0.133333,0.72807,0.5,0.281818,0.321429,0.384615,0.772727
36:47.3,0.133333,0.2,0.863636,0.55,0.242424,0.830508,0.428571,0.144444,0.719298,0.5,0.281818,0.321429,0.384615,0.772727
36:47.3,0.133333,0.2,0.863636,0.55,0.242424,0.830508,0.428571,0.155556,0.719298,0.5,0.281818,0.321429,0.384615,0.772727
36:47.3,0.066667,0.2,0.909091,0.55,0.25,0.830508,0.5,0.166667,0.719298,0.5,0.281818,0.321429,0.384615,0.772727
36:47.3,0.133333,0.4,0.909091,0.55,0.257576,0.813559,0.5,0.177778,0.719298,0.5,0.281818,0.285714,0.384615,0.727273
36:47.3,0.066667,0.2,0.909091,0.55,0.257576,0.813559,0.5,0.188889,0.710526,0.5,0.281818,0.285714,0.384615,0.727273
36:47.3,0.133333,0.4,0.909091,0.55,0.257576,0.79661,0.5,0.188889,0.710526,0.576923,0.281818,0.285714,0.384615,0.727273
36:47.3,0.133333,0.2,0.909091,0.55,0.25,0.779661,0.5,0.188889,0.719298,0.538462,0.281818,0.285714,0.384615,0.772727
36:47.3,0.133333,0.2,0.909091,0.55,0.257576,0.745763,0.5,0.222222,0.719298,0.5,0.272727,0.285714,0.423077,0.727273
36:47.3,0.066667,0.2,0.863636,0.55,0.25,0.694915,0.428571,0.266667,0.692982,0.5,0.254545,0.285714,0.423077,0.727273
36:47.3,0.133333,0.2,0.909091,0.525,0.257576,0.694915,0.428571,0.255556,0.684211,0.5,0.263636,0.25,0.384615,0.727273
36:47.4,0.133333,0.2,0.909091,0.525,0.25,0.677966,0.428571,0.255556,0.684211,0.461538,0.263636,0.25,0.423077,0.727273
36:47.4,0.133333,0.2,0.909091,0.525,0.25,0.677966,0.428571,0.266667,0.675439,0.461538,0.263636,0.25,0.423077,0.727273
36:47.4,0.066667,0.4,0.909091,0.525,0.25,0.661017,0.428571,0.266667,0.666667,0.461538,0.254545,0.25,0.461538,0.727273
36:47.4,0.066667,0.2,0.909091,0.525,0.25,0.644068,0.428571,0.266667,0.657895,0.423077,0.254545,0.25,0.384615,0.772727
36:47.4,0.066667,0.4,0.863636,0.5,0.25,0.644068,0.428571,0.266667,0.649123,0.423077,0.254545,0.25,0.423077,0.772727
36:47.4,0.066667,0.2,0.909091,0.525,0.25,0.644068,0.357143,0.266667,0.649123,0.423077,0.245455,0.25,0.384615,0.772727
36:47.4,0.066667,0.2,0.909091,0.55,0.25,0.644068,0.428571,0.255556,0.649123,0.423077,0.254545,0.25,0.384615,0.772727
36:47.4,0.066667,0.2,0.909091,0.525,0.257576,0.644068,0.357143,0.255556,0.640351,0.423077,0.245455,0.285714,0.384615,0.772727
36:47.4,0.066667,0.4,0.909091,0.525,0.25,0.627119,0.357143,0.255556,0.631579,0.461538,0.254545,0.25,0.384615,0.772727
