GloveManager recording started on 04/12/18 at 13:10:46

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.018827,3428,3145,3386,3118,3496,3714,3642,3318,3899,3099,3691,3797,3475,3212,,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.666667,0.000000,0.250000,0.000000,0.666667
0.019806,3428,3144,3386,3115,3496,3713,3642,3318,3899,3099,3690,3796,3474,3212,,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.666667,0.000000,0.000000,0.000000,0.666667
0.018326,3427,3141,3388,3111,3495,3713,3642,3318,3899,3098,3690,3796,3474,3212,,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.333333,0.000000,0.000000,0.000000,0.666667
0.018013,3427,3139,3388,3109,3495,3712,3641,3318,3899,3099,3689,3796,3474,3211,,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.666667,0.000000,0.000000,0.000000,0.500000
0.018801,3427,3138,3388,3105,3495,3712,3641,3318,3899,3099,3688,3797,3474,3211,,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.666667,0.000000,0.250000,0.000000,0.500000
0.019099,3426,3137,3388,3106,3495,3712,3641,3317,3899,3099,3688,3797,3474,3211,,0.000000,0.000000,1.000000,0.017544,0.000000,0.000000,0.000000,0.250000,0.000000,0.666667,0.000000,0.250000,0.000000,0.500000
0.019047,3427,3137,3388,3106,3495,3712,3641,3317,3899,3099,3688,3796,3475,3211,,0.125000,0.000000,1.000000,0.017544,0.000000,0.000000,0.000000,0.250000,0.000000,0.666667,0.000000,0.000000,0.055556,0.500000
0.020208,3427,3138,3388,3107,3495,3712,3641,3317,3899,3099,3688,3797,3475,3211,,0.125000,0.027778,1.000000,0.035088,0.000000,0.000000,0.000000,0.250000,0.000000,0.666667,0.000000,0.250000,0.055556,0.500000
0.019044,3428,3138,3388,3107,3495,3712,3641,3317,3899,3099,3687,3797,3475,3212,,0.250000,0.027778,1.000000,0.035088,0.000000,0.000000,0.000000,0.250000,0.000000,0.666667,0.000000,0.250000,0.055556,0.666667
0.018375,3427,3138,3388,3106,3495,3712,3641,3317,3899,3099,3687,3797,3475,3211,,0.125000,0.027778,1.000000,0.017544,0.000000,0.000000,0.000000,0.250000,0.000000,0.666667,0.000000,0.250000,0.055556,0.500000
0.019988,3427,3137,3388,3105,3495,3712,3641,3317,3899,3099,3687,3797,3475,3210,,0.125000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.666667,0.000000,0.250000,0.055556,0.333333
0.019909,3428,3137,3387,3106,3495,3712,3641,3316,3899,3099,3687,3797,3475,3210,,0.250000,0.000000,0.916667,0.017544,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,0.250000,0.055556,0.333333
0.020030,3427,3138,3388,3106,3495,3712,3641,3317,3899,3099,3687,3797,3475,3210,,0.125000,0.027778,1.000000,0.017544,0.000000,0.000000,0.000000,0.250000,0.000000,0.666667,0.000000,0.250000,0.055556,0.333333
0.019065,3428,3138,3387,3105,3495,3712,3641,3317,3899,3100,3687,3797,3475,3210,,0.250000,0.027778,0.916667,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,1.000000,0.000000,0.250000,0.055556,0.333333
0.018480,3427,3138,3387,3105,3495,3713,3641,3316,3899,3099,3687,3797,3476,3210,,0.125000,0.027778,0.916667,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.666667,0.000000,0.250000,0.111111,0.333333
0.019068,3427,3137,3388,3104,3495,3713,3640,3316,3899,3099,3687,3797,3475,3209,,0.125000,0.000000,1.000000,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.666667,0.000000,0.250000,0.055556,0.166667
