,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.019114,3419,3109,3371,3440,3287,3907,3770,3527,3567,3296,3559,3899,3484,3543,,0,0.4,1,0.575,0.25,0.677966,0.357143,0.177778,0.850877,0.5,0.281818,0.214286,0.5,0.772727
0.019014,3419,3108,3371,3439,3286,3907,3770,3527,3567,3296,3559,3899,3484,3542,,0,0.2,1,0.55,0.242424,0.677966,0.357143,0.177778,0.850877,0.5,0.281818,0.214286,0.5,0.727273
0.019085,3419,3108,3371,3440,3287,3907,3770,3527,3567,3296,3560,3899,3484,3542,,0,0.2,1,0.575,0.25,0.677966,0.357143,0.177778,0.850877,0.5,0.290909,0.214286,0.5,0.727273
0.020044,3419,3108,3371,3440,3287,3907,3770,3527,3567,3296,3559,3900,3484,3542,,0,0.2,1,0.575,0.25,0.677966,0.357143,0.177778,0.850877,0.5,0.281818,0.25,0.5,0.727273
0.020037,3420,3108,3371,3440,3286,3908,3770,3527,3567,3296,3559,3899,3484,3542,,0.066667,0.2,1,0.575,0.242424,0.694915,0.357143,0.177778,0.850877,0.5,0.281818,0.214286,0.5,0.727273
0.020076,3419,3108,3371,3440,3287,3907,3770,3527,3567,3296,3559,3899,3485,3542,,0,0.2,1,0.575,0.25,0.677966,0.357143,0.177778,0.850877,0.5,0.281818,0.214286,0.538462,0.727273
0.020062,3419,3108,3371,3439,3286,3908,3770,3527,3568,3296,3559,3899,3485,3542,,0,0.2,1,0.55,0.242424,0.694915,0.357143,0.177778,0.859649,0.5,0.281818,0.214286,0.538462,0.727273
0.019095,3419,3108,3371,3439,3287,3907,3770,3527,3568,3297,3559,3899,3484,3542,,0,0.2,1,0.55,0.25,0.677966,0.357143,0.177778,0.859649,0.538462,0.281818,0.214286,0.5,0.727273
0.01897,3420,3108,3371,3440,3286,3907,3770,3527,3568,3296,3559,3899,3484,3542,,0.066667,0.2,1,0.575,0.242424,0.677966,0.357143,0.177778,0.859649,0.5,0.281818,0.214286,0.5,0.727273
0.019089,3419,3108,3371,3439,3287,3907,3769,3527,3568,3297,3559,3899,3484,3542,,0,0.2,1,0.55,0.25,0.677966,0.285714,0.177778,0.859649,0.538462,0.281818,0.214286,0.5,0.727273
0.018286,3420,3108,3371,3439,3287,3907,3770,3528,3568,3296,3559,3899,3484,3542,,0.066667,0.2,1,0.55,0.25,0.677966,0.357143,0.188889,0.859649,0.5,0.281818,0.214286,0.5,0.727273
0.01985,3419,3108,3371,3439,3287,3908,3770,3528,3568,3296,3559,3899,3484,3542,,0,0.2,1,0.55,0.25,0.694915,0.357143,0.188889,0.859649,0.5,0.281818,0.214286,0.5,0.727273
0.019286,3419,3108,3371,3439,3287,3907,3770,3527,3568,3297,3559,3899,3484,3542,,0,0.2,1,0.55,0.25,0.677966,0.357143,0.177778,0.859649,0.538462,0.281818,0.214286,0.5,0.727273
0.020936,3420,3108,3371,3439,3287,3907,3770,3527,3569,3296,3559,3899,3484,3542,,0.066667,0.2,1,0.55,0.25,0.677966,0.357143,0.177778,0.868421,0.5,0.281818,0.214286,0.5,0.727273
0.017887,3419,3108,3371,3440,3287,3907,3770,3528,3569,3296,3559,3899,3484,3542,,0,0.2,1,0.575,0.25,0.677966,0.357143,0.188889,0.868421,0.5,0.281818,0.214286,0.5,0.727273
0.020055,3419,3108,3371,3440,3287,3907,3770,3528,3568,3297,3559,3899,3484,3542,,0,0.2,1,0.575,0.25,0.677966,0.357143,0.188889,0.859649,0.538462,0.281818,0.214286,0.5,0.727273
0.020112,3420,3108,3371,3439,3287,3908,3770,3527,3569,3296,3559,3900,3484,3542,,0.066667,0.2,1,0.55,0.25,0.694915,0.357143,0.177778,0.868421,0.5,0.281818,0.25,0.5,0.727273
0.020033,3419,3108,3371,3439,3287,3908,3770,3528,3568,3296,3559,3899,3484,3542,,0,0.2,1,0.55,0.25,0.694915,0.357143,0.188889,0.859649,0.5,0.281818,0.214286,0.5,0.727273
