GloveManager recording started on 04/12/18 at 13:03:55

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017544,3415,3101,3357,3427,3287,3903,3764,3519,3543,3289,3548,3897,3485,3543,,0.000000,0.083333,0.531250,0.423077,0.266667,0.661765,0.318182,0.119658,0.807531,0.428571,0.227941,0.250000,0.600000,0.461538
0.019189,3415,3101,3357,3427,3286,3903,3764,3519,3542,3289,3549,3897,3484,3543,,0.000000,0.083333,0.531250,0.423077,0.259259,0.661765,0.318182,0.119658,0.803347,0.428571,0.235294,0.250000,0.566667,0.461538
0.018825,3415,3100,3357,3427,3287,3903,3764,3519,3542,3289,3548,3897,3483,3543,,0.000000,0.000000,0.531250,0.423077,0.266667,0.661765,0.318182,0.119658,0.803347,0.428571,0.227941,0.250000,0.533333,0.461538
0.018851,3415,3101,3357,3427,3287,3903,3764,3519,3542,3289,3548,3897,3484,3543,,0.000000,0.083333,0.531250,0.423077,0.266667,0.661765,0.318182,0.119658,0.803347,0.428571,0.227941,0.250000,0.566667,0.461538
0.019056,3415,3101,3358,3426,3287,3903,3764,3519,3543,3290,3549,3897,3483,3543,,0.000000,0.083333,0.562500,0.403846,0.266667,0.661765,0.318182,0.119658,0.807531,0.457143,0.235294,0.250000,0.533333,0.461538
0.018999,3415,3101,3358,3427,3287,3903,3764,3518,3542,3289,3549,3897,3483,3543,,0.000000,0.083333,0.562500,0.423077,0.266667,0.661765,0.318182,0.111111,0.803347,0.428571,0.235294,0.250000,0.533333,0.461538
0.018123,3415,3101,3358,3427,3287,3903,3764,3519,3543,3289,3549,3897,3483,3543,,0.000000,0.083333,0.562500,0.423077,0.266667,0.661765,0.318182,0.119658,0.807531,0.428571,0.235294,0.250000,0.533333,0.461538
0.019029,3415,3100,3357,3427,3287,3903,3764,3519,3543,3289,3548,3897,3484,3543,,0.000000,0.000000,0.531250,0.423077,0.266667,0.661765,0.318182,0.119658,0.807531,0.428571,0.227941,0.250000,0.566667,0.461538
0.018039,3415,3101,3357,3426,3286,3903,3764,3519,3544,3289,3549,3897,3483,3543,,0.000000,0.083333,0.531250,0.403846,0.259259,0.661765,0.318182,0.119658,0.811715,0.428571,0.235294,0.250000,0.533333,0.461538
0.019041,3415,3101,3358,3427,3287,3902,3764,3519,3543,3289,3549,3897,3483,3543,,0.000000,0.083333,0.562500,0.423077,0.266667,0.647059,0.318182,0.119658,0.807531,0.428571,0.235294,0.250000,0.533333,0.461538
0.019009,3415,3101,3358,3427,3287,3903,3764,3519,3544,3290,3548,3897,3483,3543,,0.000000,0.083333,0.562500,0.423077,0.266667,0.661765,0.318182,0.119658,0.811715,0.457143,0.227941,0.250000,0.533333,0.461538
0.020104,3416,3101,3357,3427,3286,3903,3764,3519,3544,3290,3548,3898,3483,3543,,0.052632,0.083333,0.531250,0.423077,0.259259,0.661765,0.318182,0.119658,0.811715,0.457143,0.227941,0.275000,0.533333,0.461538
0.019048,3415,3100,3358,3427,3287,3903,3764,3519,3544,3289,3549,3898,3483,3543,,0.000000,0.000000,0.562500,0.423077,0.266667,0.661765,0.318182,0.119658,0.811715,0.428571,0.235294,0.275000,0.533333,0.461538
0.019069,3415,3101,3358,3427,3287,3903,3764,3519,3545,3289,3549,3898,3484,3543,,0.000000,0.083333,0.562500,0.423077,0.266667,0.661765,0.318182,0.119658,0.815900,0.428571,0.235294,0.275000,0.566667,0.461538
0.019010,3415,3101,3358,3427,3287,3903,3764,3520,3545,3289,3549,3898,3483,3543,,0.000000,0.083333,0.562500,0.423077,0.266667,0.661765,0.318182,0.128205,0.815900,0.428571,0.235294,0.275000,0.533333,0.461538
0.020066,3415,3101,3358,3427,3287,3903,3764,3519,3545,3289,3549,3898,3484,3543,,0.000000,0.083333,0.562500,0.423077,0.266667,0.661765,0.318182,0.119658,0.815900,0.428571,0.235294,0.275000,0.566667,0.461538
0.020035,3415,3101,3358,3427,3287,3904,3764,3519,3547,3290,3549,3898,3484,3543,,0.000000,0.083333,0.562500,0.423077,0.266667,0.676471,0.318182,0.119658,0.824268,0.457143,0.235294,0.275000,0.566667,0.461538
0.019067,3415,3101,3358,3426,3287,3904,3764,3520,3547,3290,3549,3898,3484,3542,,0.000000,0.083333,0.562500,0.403846,0.266667,0.676471,0.318182,0.128205,0.824268,0.457143,0.235294,0.275000,0.566667,0.435897
0.020065,3415,3101,3358,3426,3288,3904,3764,3520,3547,3290,3549,3898,3484,3543,,0.000000,0.083333,0.562500,0.403846,0.274074,0.676471,0.318182,0.128205,0.824268,0.457143,0.235294,0.275000,0.566667,0.461538
