Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.137931,0.342857,0.120181,0.075926,0.139918,0.352697,0.263158,0.165714,0.223404,0.009259,0.078947,0.246154,0.196429,0.131148
0.137931,0.348571,0.120181,0.075926,0.144033,0.352697,0.255639,0.165714,0.223404,0.009259,0.078947,0.246154,0.214286,0.136612
0.137931,0.342857,0.120181,0.074074,0.144033,0.352697,0.255639,0.165714,0.223404,0.009259,0.078947,0.246154,0.214286,0.136612
0.137931,0.342857,0.120181,0.075926,0.139918,0.352697,0.255639,0.165714,0.223404,0.009259,0.078947,0.246154,0.214286,0.142077
0.137931,0.342857,0.120181,0.075926,0.139918,0.352697,0.255639,0.165714,0.223404,0.009259,0.078947,0.238462,0.196429,0.136612
0.137931,0.342857,0.120181,0.075926,0.139918,0.352697,0.255639,0.165714,0.223404,0.009259,0.078947,0.246154,0.196429,0.136612
0.137931,0.342857,0.117914,0.074074,0.144033,0.352697,0.255639,0.165714,0.223404,0.009259,0.078947,0.238462,0.214286,0.136612
0.137931,0.348571,0.120181,0.075926,0.139918,0.350622,0.255639,0.171429,0.223404,0.018519,0.078947,0.238462,0.214286,0.136612
0.137931,0.348571,0.117914,0.074074,0.139918,0.352697,0.255639,0.165714,0.223404,0.009259,0.078947,0.246154,0.196429,0.131148
0.137931,0.342857,0.117914,0.075926,0.139918,0.352697,0.263158,0.165714,0.22695,0.009259,0.078947,0.246154,0.214286,0.131148
0.137931,0.342857,0.117914,0.074074,0.139918,0.352697,0.255639,0.165714,0.22695,0.009259,0.078947,0.238462,0.196429,0.136612
0.137931,0.342857,0.117914,0.075926,0.139918,0.352697,0.255639,0.165714,0.223404,0.018519,0.078947,0.246154,0.214286,0.131148
0.137931,0.342857,0.120181,0.075926,0.139918,0.352697,0.255639,0.165714,0.223404,0.018519,0.078947,0.238462,0.196429,0.136612
0.137931,0.348571,0.120181,0.075926,0.139918,0.352697,0.255639,0.165714,0.223404,0.009259,0.085526,0.238462,0.214286,0.136612
0.131034,0.348571,0.117914,0.074074,0.135802,0.352697,0.255639,0.165714,0.22695,0.009259,0.085526,0.238462,0.196429,0.136612
0.137931,0.342857,0.117914,0.075926,0.139918,0.352697,0.263158,0.165714,0.223404,0.009259,0.078947,0.246154,0.196429,0.131148
0.137931,0.342857,0.120181,0.074074,0.135802,0.352697,0.255639,0.165714,0.22695,0.018519,0.078947,0.246154,0.214286,0.131148
0.137931,0.348571,0.117914,0.074074,0.135802,0.352697,0.255639,0.165714,0.223404,0.009259,0.078947,0.246154,0.214286,0.136612
0.137931,0.348571,0.117914,0.074074,0.139918,0.352697,0.263158,0.165714,0.223404,0.009259,0.078947,0.238462,0.214286,0.136612
0.137931,0.342857,0.117914,0.075926,0.135802,0.354772,0.255639,0.165714,0.22695,0.009259,0.078947,0.246154,0.214286,0.136612
0.137931,0.342857,0.117914,0.074074,0.135802,0.352697,0.255639,0.165714,0.223404,0.009259,0.078947,0.238462,0.196429,0.142077
0.137931,0.348571,0.117914,0.074074,0.135802,0.352697,0.255639,0.165714,0.223404,0.009259,0.078947,0.238462,0.214286,0.142077
0.137931,0.342857,0.117914,0.074074,0.135802,0.352697,0.255639,0.165714,0.223404,0.009259,0.078947,0.238462,0.214286,0.131148
